player_id,Team,Pos,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,season_year,season_type
dennide01,DAL,SG,4.0,0.0,30.0,10.0,19.0,1.0,8.0,9.0,11.0,1.0,3.0,1.0,8.0,9.0,4.0,0.0,1.0,3.0,1.0,22.0,2024,regular
keybr01,DEN,SF,20.0,0.0,60.0,7.0,17.0,2.0,5.0,5.0,12.0,6.0,8.0,3.0,15.0,18.0,9.0,2.0,1.0,1.0,5.0,22.0,2024,regular
brownke03,IND,SG,15.0,0.0,63.0,8.0,15.0,0.0,2.0,8.0,13.0,5.0,8.0,3.0,2.0,5.0,5.0,0.0,0.0,2.0,9.0,21.0,2024,regular
bouyeja01,POR,PG,6.0,0.0,57.0,5.0,21.0,0.0,8.0,5.0,13.0,0.0,0.0,2.0,8.0,10.0,8.0,0.0,0.0,8.0,3.0,10.0,2024,regular
bouyeja01,SAS,PG,3.0,0.0,38.0,5.0,7.0,1.0,1.0,4.0,6.0,0.0,0.0,1.0,8.0,9.0,3.0,1.0,0.0,1.0,7.0,11.0,2024,regular
samueje01,HOU,SF,14.0,0.0,60.0,9.0,14.0,0.0,2.0,9.0,12.0,2.0,2.0,3.0,10.0,13.0,3.0,1.0,2.0,0.0,5.0,20.0,2024,regular
simmoko01,TOR,PG,4.0,0.0,67.0,9.0,21.0,2.0,8.0,7.0,13.0,0.0,0.0,1.0,6.0,7.0,12.0,6.0,2.0,1.0,5.0,20.0,2024,regular
tysonhu01,DEN,PF,18.0,0.0,48.0,8.0,20.0,4.0,14.0,4.0,6.0,0.0,0.0,1.0,8.0,9.0,2.0,1.0,0.0,2.0,10.0,20.0,2024,regular
willima11,TOR,C,7.0,2.0,107.0,9.0,34.0,1.0,5.0,8.0,29.0,0.0,2.0,15.0,23.0,38.0,2.0,3.0,4.0,3.0,15.0,19.0,2024,regular
lopezro01,MIL,C,16.0,2.0,65.0,7.0,19.0,2.0,8.0,5.0,11.0,2.0,2.0,3.0,2.0,5.0,4.0,1.0,3.0,2.0,7.0,18.0,2024,regular
mooreta02,POR,SG,4.0,0.0,40.0,8.0,19.0,1.0,7.0,7.0,12.0,1.0,2.0,4.0,4.0,8.0,5.0,2.0,0.0,3.0,4.0,18.0,2024,regular
moorewe01,MIN,SG,25.0,0.0,75.0,9.0,18.0,0.0,6.0,9.0,12.0,0.0,0.0,0.0,12.0,12.0,6.0,5.0,1.0,4.0,5.0,18.0,2024,regular
gabriwe01,MEM,PF,5.0,0.0,81.0,8.0,22.0,1.0,6.0,7.0,16.0,0.0,5.0,7.0,18.0,25.0,3.0,2.0,2.0,8.0,10.0,17.0,2024,regular
davisjd01,BOS,SG,8.0,0.0,39.0,5.0,12.0,3.0,7.0,2.0,5.0,3.0,4.0,2.0,8.0,10.0,10.0,1.0,1.0,2.0,4.0,16.0,2024,regular
browngr01,DAL,PF,6.0,0.0,40.0,5.0,11.0,1.0,3.0,4.0,8.0,4.0,9.0,3.0,6.0,9.0,4.0,0.0,4.0,4.0,5.0,15.0,2024,regular
walshjo01,BOS,SF,9.0,1.0,83.0,6.0,15.0,2.0,9.0,4.0,6.0,1.0,2.0,5.0,15.0,20.0,5.0,5.0,1.0,3.0,11.0,15.0,2024,regular
fudgeal01,LAL,SF,4.0,0.0,14.0,1.0,6.0,0.0,2.0,1.0,4.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,4.0,2024,regular
fudgeal01,DAL,SF,2.0,0.0,26.0,5.0,9.0,1.0,3.0,4.0,6.0,0.0,0.0,2.0,1.0,3.0,0.0,3.0,0.0,1.0,1.0,11.0,2024,regular
hodgedm01,LAL,SG,7.0,0.0,41.0,5.0,15.0,3.0,12.0,2.0,3.0,1.0,2.0,0.0,0.0,0.0,5.0,1.0,1.0,1.0,4.0,14.0,2024,regular
jeffrda01,NYK,SG,17.0,0.0,46.0,6.0,17.0,2.0,10.0,4.0,7.0,0.0,2.0,0.0,5.0,5.0,5.0,0.0,1.0,3.0,2.0,14.0,2024,regular
lundyse01,ATL,SF,9.0,0.0,52.0,4.0,17.0,3.0,13.0,1.0,4.0,3.0,4.0,1.0,6.0,7.0,0.0,0.0,0.0,1.0,6.0,14.0,2024,regular
seabrde01,NOP,SG,6.0,0.0,55.0,4.0,13.0,1.0,2.0,3.0,11.0,5.0,6.0,1.0,6.0,7.0,5.0,2.0,1.0,0.0,4.0,14.0,2024,regular
washity02,MIL,PG,11.0,0.0,56.0,6.0,20.0,2.0,6.0,4.0,14.0,0.0,0.0,1.0,4.0,5.0,5.0,3.0,0.0,2.0,1.0,14.0,2024,regular
allenti01,MEM,SF,5.0,0.0,125.0,6.0,23.0,0.0,7.0,6.0,16.0,1.0,2.0,4.0,13.0,17.0,5.0,4.0,0.0,2.0,18.0,13.0,2024,regular
millejo02,LAC,SF,8.0,0.0,28.0,5.0,9.0,1.0,2.0,4.0,7.0,2.0,2.0,3.0,2.0,5.0,0.0,0.0,0.0,1.0,2.0,13.0,2024,regular
toppija01,NYK,SF,9.0,0.0,38.0,5.0,9.0,1.0,4.0,4.0,5.0,2.0,2.0,3.0,4.0,7.0,3.0,0.0,1.0,1.0,3.0,13.0,2024,regular
diakima01,SAS,PF,3.0,0.0,16.0,4.0,5.0,0.0,0.0,4.0,5.0,4.0,6.0,1.0,2.0,3.0,2.0,0.0,1.0,0.0,1.0,12.0,2024,regular
diakima01,NYK,PF,3.0,0.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,2024,regular
fordjo01,SAC,PG,6.0,0.0,22.0,4.0,7.0,2.0,3.0,2.0,4.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,12.0,2024,regular
prestja01,UTA,PG,7.0,0.0,71.0,6.0,19.0,0.0,3.0,6.0,16.0,0.0,0.0,6.0,11.0,17.0,16.0,2.0,1.0,2.0,3.0,12.0,2024,regular
cartodj01,TOR,SG,4.0,0.0,36.0,3.0,8.0,1.0,4.0,2.0,4.0,4.0,5.0,2.0,2.0,4.0,3.0,1.0,0.0,1.0,3.0,11.0,2024,regular
drellhe01,CHI,SF,4.0,0.0,30.0,4.0,10.0,2.0,6.0,2.0,4.0,1.0,2.0,1.0,3.0,4.0,4.0,2.0,1.0,2.0,6.0,11.0,2024,regular
johnske08,OKC,SF,9.0,0.0,66.0,5.0,16.0,1.0,3.0,4.0,13.0,0.0,0.0,4.0,6.0,10.0,4.0,1.0,0.0,4.0,5.0,11.0,2024,regular
lewisma05,LAL,SF,34.0,0.0,103.0,4.0,21.0,1.0,9.0,3.0,12.0,2.0,3.0,2.0,2.0,4.0,6.0,2.0,1.0,10.0,5.0,11.0,2024,regular
peterdr01,BOS,PF,3.0,0.0,23.0,4.0,6.0,3.0,5.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,11.0,2024,regular
hamptrj01,MIA,PG,8.0,2.0,76.0,4.0,14.0,1.0,8.0,3.0,6.0,1.0,2.0,2.0,4.0,6.0,8.0,0.0,0.0,3.0,8.0,10.0,2024,regular
wilsodj01,PHI,PF,2.0,0.0,15.0,4.0,6.0,2.0,2.0,2.0,4.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,2.0,0.0,1.0,10.0,2024,regular
johnsja01,IND,PF,9.0,0.0,47.0,3.0,10.0,0.0,2.0,3.0,8.0,2.0,2.0,1.0,3.0,4.0,8.0,5.0,1.0,5.0,9.0,8.0,2024,regular
slawsja01,SAC,SF,12.0,0.0,37.0,4.0,6.0,0.0,2.0,4.0,4.0,0.0,0.0,1.0,6.0,7.0,2.0,1.0,1.0,2.0,8.0,8.0,2024,regular
thomais02,PHO,PG,6.0,0.0,19.0,3.0,10.0,2.0,4.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,8.0,2024,regular
